Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00     12.52     0.00                             UpdateNeighbourlist (neighbourlist.c:40 @ 24d0)
  0.00     12.52     0.00                             UpdateNeighbourlist (neighbourlist.c:80 @ 24d8)
  0.00     12.52     0.00                             UpdateNeighbourlist (neighbourlist.c:79 @ 24dc)
  0.00     12.52     0.00                             UpdateNeighbourlist (neighbourlist.c:82 @ 24e0)
  0.00     12.52     0.00                             UpdateNeighbourlist (neighbourlist.c:82 @ 24ec)
  0.00     12.52     0.00                             UpdateNeighbourlist (neighbourlist.c:82 @ 24fc)
  0.00     12.52     0.00                             UpdateNeighbourlist (neighbourlist.c:56 @ 2514)
  0.00     12.52     0.00                             UpdateNeighbourlist (neighbourlist.c:55 @ 2540)
  0.00     12.52     0.00                             UpdateNeighbourlist (neighbourlist.c:64 @ 2550)
  0.00     12.52     0.00                             UpdateNeighbourlist (neighbourlist.c:65 @ 255c)
  0.00     12.52     0.00                             WriteAtoms (inout.c:205 @ 1c34)
  0.00     12.52     0.00                             WriteAtoms (inout.c:197 @ 1c38)
  0.00     12.52     0.00                             WriteAtoms (inout.c:206 @ 1c54)
  0.00     12.52     0.00                             WriteAtoms (inout.c:197 @ 1c58)
  0.00     12.52     0.00                             WriteAtoms (inout.c:205 @ 1c60)
  0.00     12.52     0.00                             WriteAtoms (inout.c:211 @ 1c68)
  0.00     12.52     0.00                             WriteAtoms (inout.c:220 @ 1ca4)
  0.00     12.52     0.00                             WriteAtoms (inout.c:220 @ 1cbc)
  0.00     12.52     0.00                             WriteAtoms (inout.c:220 @ 1cd4)
  0.00     12.52     0.00                             WriteAtoms (inout.c:220 @ 1cdc)
  0.00     12.52     0.00                             WriteAtoms (inout.c:220 @ 1ce8)
  0.00     12.52     0.00                             WriteAtoms (inout.c:225 @ 1cf0)
  0.00     12.52     0.00                             WriteAtoms (inout.c:227 @ 1cf4)
  0.00     12.52     0.00                             WriteAtoms (inout.c:225 @ 1d0c)
  0.00     12.52     0.00                             WriteAtoms (inout.c:206 @ 1d10)
  0.00     12.52     0.00                             WriteAtoms (inout.c:207 @ 1d28)
  0.00     12.52     0.00                             WriteAtoms (inout.c:208 @ 1d2c)
  0.00     12.52     0.00                             WriteAtoms (inout.c:207 @ 1d34)
  0.00     12.52     0.00                             __do_global_dtors_aux
  0.00     12.52     0.00                             __gmon_start__
  0.00     12.52     0.00                             __stack_chk_fail_local
  0.00     12.52     0.00                             _dl_relocate_static_pie
  0.00     12.52     0.00                             _fini
  0.00     12.52     0.00                             _start
  0.00     12.52     0.00                             atexit
  0.00     12.52     0.00                             call_weak_fn
  0.00     12.52     0.00                             deregister_tm_clones
  0.00     12.52     0.00                             etext
  0.00     12.52     0.00                             fgets (stdio2.h:266 @ 14d4)
  0.00     12.52     0.00                             fgets (stdio2.h:266 @ 1a70)
  0.00     12.52     0.00                             fgets (stdio2.h:266 @ 1aa8)
  0.00     12.52     0.00                             fgets (stdio2.h:266 @ 1b24)
  0.00     12.52     0.00                             fprintf (stdio2.h:105 @ 1c6c)
  0.00     12.52     0.00                             fprintf (stdio2.h:105 @ 1cb8)
  0.00     12.52     0.00                             fprintf (stdio2.h:105 @ 1cc0)
  0.00     12.52     0.00                             fprintf (stdio2.h:105 @ 1cd8)
  0.00     12.52     0.00                             fprintf (stdio2.h:105 @ 1ce0)
  0.00     12.52     0.00                             frame_dummy
  0.00     12.52     0.00                             gaussianrand (physical.c:145 @ 1d50)
  0.00     12.52     0.00                             gaussianrand (physical.c:163 @ 1da8)
  0.00     12.52     0.00                             gaussianrand (physical.c:166 @ 1db0)
  0.00     12.52     0.00                             gaussianrand (physical.c:163 @ 1e04)
  0.00     12.52     0.00                             gaussianrand (physical.c:164 @ 1e2c)
  0.00     12.52     0.00                             gaussianrand (physical.c:165 @ 1e30)
  0.00     12.52     0.00                             gaussianrand (physical.c:166 @ 1e38)
  0.00     12.52     0.00                             gaussianrand (physical.c:167 @ 1e48)
  0.00     12.52     0.00                             gaussianrand (physical.c:168 @ 1e74)
  0.00     12.52     0.00                             gaussianrand (physical.c:177 @ 1e80)
  0.00     12.52     0.00                             gaussianrand (physical.c:169 @ 1e84)
  0.00     12.52     0.00                             gaussianrand (physical.c:177 @ 1e88)
  0.00     12.52     0.00                             gaussianrand (physical.c:168 @ 1e90)
  0.00     12.52     0.00                             gaussianrand (physical.c:177 @ 1e94)
  0.00     12.52     0.00                             gaussianrand (physical.c:169 @ 1e98)
  0.00     12.52     0.00                             gaussianrand (physical.c:177 @ 1e9c)
  0.00     12.52     0.00                             gaussianrand (physical.c:161 @ 1f44)
  0.00     12.52     0.00                             gaussianrand (physical.c:31 @ 1f58)
  0.00     12.52     0.00                             gaussianrand (physical.c:161 @ 1f60)
  0.00     12.52     0.00                             gaussianrand (physical.c:161 @ 1f68)
  0.00     12.52     0.00                             gaussianrand (physical.c:173 @ 1f70)
  0.00     12.52     0.00                             gaussianrand (physical.c:35 @ 1f7c)
  0.00     12.52     0.00                             gaussianrand (physical.c:161 @ 1fac)
  0.00     12.52     0.00                             gaussianrand (physical.c:173 @ 1fbc)
  0.00     12.52     0.00                             gaussianrand (physical.c:34 @ 1fc8)
  0.00     12.52     0.00                             gaussianrand (physical.c:161 @ 1fd4)
  0.00     12.52     0.00                             gaussianrand (physical.c:161 @ 1fdc)
  0.00     12.52     0.00                             gaussianrand (physical.c:173 @ 1fe0)
  0.00     12.52     0.00                             gaussianrand (physical.c:174 @ 1fe4)
  0.00     12.52     0.00                             gaussianrand (physical.c:155 @ 22f0)
  0.00     12.52     0.00                             gaussianrand (physical.c:161 @ 230c)
  0.00     12.52     0.00                             gaussianrand (physical.c:177 @ 2320)
  0.00     12.52     0.00                             gaussianrand (physical.c:173 @ 2330)
  0.00     12.52     0.00                             gaussianrand (physical.c:177 @ 2334)
  0.00     12.52     0.00                             main (main.c:22 @ c40)
  0.00     12.52     0.00                             main (main.c:103 @ c94)
  0.00     12.52     0.00                             main (main.c:22 @ c98)
  0.00     12.52     0.00                             main (main.c:103 @ ca0)
  0.00     12.52     0.00                             main (main.c:22 @ ca4)
  0.00     12.52     0.00                             main (main.c:98 @ cb4)
  0.00     12.52     0.00                             main (main.c:22 @ cb8)
  0.00     12.52     0.00                             main (main.c:103 @ cc4)
  0.00     12.52     0.00                             main (main.c:106 @ ccc)
  0.00     12.52     0.00                             main (main.c:109 @ cd4)
  0.00     12.52     0.00                             main (main.c:98 @ cdc)
  0.00     12.52     0.00                             main (main.c:103 @ d40)
  0.00     12.52     0.00                             main (main.c:106 @ d50)
  0.00     12.52     0.00                             main (main.c:109 @ d74)
  0.00     12.52     0.00                             main (main.c:113 @ d9c)
  0.00     12.52     0.00                             main (main.c:114 @ dc0)
  0.00     12.52     0.00                             main (main.c:113 @ dc4)
  0.00     12.52     0.00                             main (main.c:114 @ dc8)
  0.00     12.52     0.00                             main (main.c:113 @ dcc)
  0.00     12.52     0.00                             main (main.c:142 @ dd4)
  0.00     12.52     0.00                             main (main.c:118 @ e08)
  0.00     12.52     0.00                             main (main.c:142 @ e0c)
  0.00     12.52     0.00                             main (main.c:119 @ e38)
  0.00     12.52     0.00                             main (main.c:125 @ e40)
  0.00     12.52     0.00                             main (main.c:127 @ e68)
  0.00     12.52     0.00                             main (main.c:130 @ ea0)
  0.00     12.52     0.00                             main (main.c:132 @ eb4)
  0.00     12.52     0.00                             main (main.c:135 @ ed0)
  0.00     12.52     0.00                             main (main.c:139 @ ed4)
  0.00     12.52     0.00                             main (main.c:135 @ ee0)
  0.00     12.52     0.00                             main (main.c:139 @ ee4)
  0.00     12.52     0.00                             main (main.c:142 @ efc)
  0.00     12.52     0.00                             main (main.c:142 @ f04)
  0.00     12.52     0.00                             main (main.c:142 @ f0c)
  0.00     12.52     0.00                             main (main.c:142 @ f24)
  0.00     12.52     0.00                             main (main.c:144 @ f28)
  0.00     12.52     0.00                             main (main.c:142 @ f2c)
  0.00     12.52     0.00                             main (main.c:142 @ f34)
  0.00     12.52     0.00                             main (main.c:144 @ f3c)
  0.00     12.52     0.00                             main (main.c:142 @ f40)
  0.00     12.52     0.00                             main (main.c:142 @ f48)
  0.00     12.52     0.00                             main (main.c:142 @ f54)
  0.00     12.52     0.00                             main (main.c:147 @ f68)
  0.00     12.52     0.00                             main (main.c:148 @ f74)
  0.00     12.52     0.00                             main (main.c:154 @ f80)
  0.00     12.52     0.00                             main (main.c:160 @ f84)
  0.00     12.52     0.00                             main (main.c:154 @ f88)
  0.00     12.52     0.00                             main (main.c:172 @ f90)
  0.00     12.52     0.00                             main (main.c:174 @ f9c)
  0.00     12.52     0.00                             main (main.c:121 @ fa0)
  0.00     12.52     0.00                             main (main.c:122 @ fb0)
  0.00     12.52     0.00                             main (main.c:125 @ fd0)
  0.00     12.52     0.00                             main (main.c:155 @ fd8)
  0.00     12.52     0.00                             main (main.c:158 @ 1000)
  0.00     12.52     0.00                             main (main.c:159 @ 1004)
  0.00     12.52     0.00                             main (main.c:160 @ 1008)
  0.00     12.52     0.00                             main (main.c:157 @ 100c)
  0.00     12.52     0.00                             main (main.c:158 @ 1010)
  0.00     12.52     0.00                             main (main.c:159 @ 1014)
  0.00     12.52     0.00                             main (main.c:158 @ 1018)
  0.00     12.52     0.00                             main (main.c:159 @ 101c)
  0.00     12.52     0.00                             main (main.c:160 @ 1020)
  0.00     12.52     0.00                             main (main.c:162 @ 1040)
  0.00     12.52     0.00                             main (main.c:163 @ 1044)
  0.00     12.52     0.00                             main (main.c:161 @ 1048)
  0.00     12.52     0.00                             main (main.c:162 @ 104c)
  0.00     12.52     0.00                             main (main.c:163 @ 1050)
  0.00     12.52     0.00                             main (main.c:162 @ 1054)
  0.00     12.52     0.00                             main (main.c:160 @ 1058)
  0.00     12.52     0.00                             main (main.c:160 @ 1060)
  0.00     12.52     0.00                             main (main.c:165 @ 1074)
  0.00     12.52     0.00                             main (main.c:160 @ 107c)
  0.00     12.52     0.00                             main (main.c:165 @ 1084)
  0.00     12.52     0.00                             main (main.c:167 @ 108c)
  0.00     12.52     0.00                             main (main.c:179 @ 10b0)
  0.00     12.52     0.00                             main (main.c:150 @ 10d4)
  0.00     12.52     0.00                             main (main.c:179 @ 1100)
  0.00     12.52     0.00                             main (main.c:179 @ 1108)
  0.00     12.52     0.00                             main (main.c:179 @ 1110)
  0.00     12.52     0.00                             main (main.c:182 @ 1134)
  0.00     12.52     0.00                             main (main.c:184 @ 115c)
  0.00     12.52     0.00                             printf (stdio2.h:112 @ cac)
  0.00     12.52     0.00                             printf (stdio2.h:112 @ cd8)
  0.00     12.52     0.00                             printf (stdio2.h:112 @ d88)
  0.00     12.52     0.00                             printf (stdio2.h:112 @ ef8)
  0.00     12.52     0.00                             printf (stdio2.h:112 @ f00)
  0.00     12.52     0.00                             printf (stdio2.h:112 @ f08)
  0.00     12.52     0.00                             printf (stdio2.h:112 @ f20)
  0.00     12.52     0.00                             printf (stdio2.h:112 @ f30)
  0.00     12.52     0.00                             printf (stdio2.h:112 @ f38)
  0.00     12.52     0.00                             printf (stdio2.h:112 @ f44)
  0.00     12.52     0.00                             printf (stdio2.h:112 @ f4c)
  0.00     12.52     0.00                             printf (stdio2.h:112 @ f60)
  0.00     12.52     0.00                             printf (stdio2.h:112 @ 1090)
  0.00     12.52     0.00                             printf (stdio2.h:112 @ 10b4)
  0.00     12.52     0.00                             printf (stdio2.h:112 @ 1104)
  0.00     12.52     0.00                             printf (stdio2.h:112 @ 110c)
  0.00     12.52     0.00                             printf (stdio2.h:112 @ 1114)
  0.00     12.52     0.00                             printf (stdio2.h:112 @ 1534)
  0.00     12.52     0.00                             printf (stdio2.h:112 @ 15b8)
  0.00     12.52     0.00                             printf (stdio2.h:112 @ 16b0)
  0.00     12.52     0.00                             printf (stdio2.h:112 @ 16cc)
  0.00     12.52     0.00                             printf (stdio2.h:112 @ 172c)
  0.00     12.52     0.00                             printf (stdio2.h:112 @ 19f8)
  0.00     12.52     0.00                             printf (stdio2.h:112 @ 1abc)
  0.00     12.52     0.00                             printf (stdio2.h:112 @ 1b58)
  0.00     12.52     0.00                             printf (stdio2.h:112 @ 24e8)
  0.00     12.52     0.00                             printf (stdio2.h:112 @ 24f0)
  0.00     12.52     0.00                             printf (stdio2.h:112 @ 2500)
  0.00     12.52     0.00                             register_tm_clones
  0.00     12.52     0.00                             uniformrand (physical.c:137 @ 1d74)
  0.00     12.52     0.00                             uniformrand (physical.c:133 @ 1d78)
  0.00     12.52     0.00                             uniformrand (physical.c:135 @ 1d80)
  0.00     12.52     0.00                             uniformrand (physical.c:137 @ 1d88)
  0.00     12.52     0.00                             uniformrand (physical.c:133 @ 1d8c)
  0.00     12.52     0.00                             uniformrand (physical.c:137 @ 1d90)
  0.00     12.52     0.00                             uniformrand (physical.c:135 @ 1d94)
  0.00     12.52     0.00                             uniformrand (physical.c:136 @ 1da4)
  0.00     12.52     0.00                             uniformrand (physical.c:133 @ 1db8)
  0.00     12.52     0.00                             uniformrand (physical.c:135 @ 1dbc)
  0.00     12.52     0.00                             uniformrand (physical.c:136 @ 1ddc)
  0.00     12.52     0.00                             uniformrand (physical.c:137 @ 1de8)
  0.00     12.52     0.00                             uniformrand (physical.c:135 @ 1dec)
  0.00     12.52     0.00                             uniformrand (physical.c:137 @ 1df4)
  0.00     12.52     0.00                             uniformrand (physical.c:135 @ 1df8)
  0.00     12.52     0.00                             uniformrand (physical.c:135 @ 1e08)
  0.00     12.52     0.00                             uniformrand (physical.c:136 @ 1e14)
  0.00     12.52     0.00                             uniformrand (physical.c:138 @ 1e20)
  0.00     12.52     0.00                             uniformrand (physical.c:137 @ 1e24)
  0.00     12.52     0.00                             uniformrand (physical.c:126 @ 2250)
  0.00     12.52     0.00                             uniformrand (physical.c:133 @ 226c)
  0.00     12.52     0.00                             uniformrand (physical.c:135 @ 2270)
  0.00     12.52     0.00                             uniformrand (physical.c:133 @ 2274)
  0.00     12.52     0.00                             uniformrand (physical.c:135 @ 227c)
  0.00     12.52     0.00                             uniformrand (physical.c:133 @ 2284)
  0.00     12.52     0.00                             uniformrand (physical.c:135 @ 2288)
  0.00     12.52     0.00                             uniformrand (physical.c:136 @ 2294)
  0.00     12.52     0.00                             uniformrand (physical.c:137 @ 2298)
  0.00     12.52     0.00                             uniformrand (physical.c:135 @ 229c)
  0.00     12.52     0.00                             uniformrand (physical.c:137 @ 22a0)
  0.00     12.52     0.00                             uniformrand (physical.c:135 @ 22a8)
  0.00     12.52     0.00                             uniformrand (physical.c:136 @ 22c4)
  0.00     12.52     0.00                             uniformrand (physical.c:138 @ 22d0)
  0.00     12.52     0.00                             uniformrand (physical.c:137 @ 22d8)
  0.00     12.52     0.00                             uniformrand (physical.c:141 @ 22dc)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2022 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 4 byte(s) for 0.08% of 12.52 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[26]     1.4    0.17    0.00                 _init [26]
-----------------------------------------------
                0.00    0.00       1/30001       main (main.c:109 @ d74) [473]
                0.00    0.00   30000/30001       main (main.c:130 @ ea0) [485]
[82]     0.0    0.00    0.00   30001         GetTemperature (physical.c:64 @ 2060) [82]
-----------------------------------------------
                0.00    0.00   30000/30000       main (main.c:139 @ ee4) [490]
[83]     0.0    0.00    0.00   30000         GetEnergies (physical.c:97 @ 2140) [83]
-----------------------------------------------
                0.00    0.00   30000/30000       main (main.c:130 @ ea0) [485]
[84]     0.0    0.00    0.00   30000         GetForces (forces.c:18 @ 2890) [84]
-----------------------------------------------
                0.00    0.00   30000/30000       main (main.c:125 @ e40) [483]
[85]     0.0    0.00    0.00   30000         Solve1 (solve.c:13 @ 2570) [85]
-----------------------------------------------
                0.00    0.00   30000/30000       main (main.c:135 @ ed0) [487]
[86]     0.0    0.00    0.00   30000         Solve2 (solve.c:61 @ 2770) [86]
-----------------------------------------------
                0.00    0.00    6000/6000        main (main.c:125 @ fd0) [511]
[87]     0.0    0.00    0.00    6000         UpdateNeighbourlist (neighbourlist.c:27 @ 2340) [87]
-----------------------------------------------
                0.00    0.00       1/781         main (main.c:182 @ 1134) [539]
                0.00    0.00      30/781         main (main.c:150 @ 10d4) [535]
                0.00    0.00     250/781         SetTemperature (physical.c:31 @ 1f4c) [272]
                0.00    0.00     250/781         gaussianrand (physical.c:35 @ 1f7c) [447]
                0.00    0.00     250/781         SetTemperature (physical.c:35 @ 1fd0) [287]
[88]     0.0    0.00    0.00     781         WriteAtoms (inout.c:197 @ 1c10) [88]
-----------------------------------------------
                0.00    0.00       1/1           main (main.c:106 @ d50) [472]
[89]     0.0    0.00    0.00       1         ReadAtoms (inout.c:152 @ 1a14) [89]
-----------------------------------------------
                0.00    0.00       1/1           main (main.c:103 @ d40) [471]
[90]     0.0    0.00    0.00       1         ReadParams (inout.c:30 @ 1340) [90]
-----------------------------------------------
                0.00    0.00       1/1           main (main.c:106 @ d50) [472]
[91]     0.0    0.00    0.00       1         SetTemperature (physical.c:12 @ 1ea4) [91]
-----------------------------------------------
                                                 <spontaneous>
[412]    0.0    0.00    0.00                 atexit [412]
-----------------------------------------------
                                                 <spontaneous>
[413]    0.0    0.00    0.00                 call_weak_fn [413]
-----------------------------------------------
                                                 <spontaneous>
[414]    0.0    0.00    0.00                 deregister_tm_clones [414]
-----------------------------------------------
                                                 <spontaneous>
[425]    0.0    0.00    0.00                 frame_dummy [425]
-----------------------------------------------
                                                 <spontaneous>
[455]    0.0    0.00    0.00                 gaussianrand (physical.c:155 @ 22f0) [455]
-----------------------------------------------
                                                 <spontaneous>
[460]    0.0    0.00    0.00                 main (main.c:22 @ c40) [460]
-----------------------------------------------
                                                 <spontaneous>
[569]    0.0    0.00    0.00                 register_tm_clones [569]
-----------------------------------------------
                                                 <spontaneous>
[589]    0.0    0.00    0.00                 uniformrand (physical.c:126 @ 2250) [589]
-----------------------------------------------
                                                 <spontaneous>
[605]    0.0    0.00    0.00                 __do_global_dtors_aux [605]
-----------------------------------------------
                                                 <spontaneous>
[606]    0.0    0.00    0.00                 __gmon_start__ [606]
-----------------------------------------------
                                                 <spontaneous>
[607]    0.0    0.00    0.00                 __stack_chk_fail_local [607]
-----------------------------------------------
                                                 <spontaneous>
[608]    0.0    0.00    0.00                 _dl_relocate_static_pie [608]
-----------------------------------------------
                                                 <spontaneous>
[609]    0.0    0.00    0.00                 _fini [609]
-----------------------------------------------
                                                 <spontaneous>
[610]    0.0    0.00    0.00                 _start [610]
-----------------------------------------------

 This table describes the call tree of the program, and was sorted by
 the total amount of time spent in each function and its children.

 Each entry in this table consists of several lines.  The line with the
 index number at the left hand margin lists the current function.
 The lines above it list the functions that called this function,
 and the lines below it list the functions this one called.
 This line lists:
     index	A unique number given to each element of the table.
		Index numbers are sorted numerically.
		The index number is printed next to every function name so
		it is easier to look up where the function is in the table.

     % time	This is the percentage of the `total' time that was spent
		in this function and its children.  Note that due to
		different viewpoints, functions excluded by options, etc,
		these numbers will NOT add up to 100%.

     self	This is the total amount of time spent in this function.

     children	This is the total amount of time propagated into this
		function by its children.

     called	This is the number of times the function was called.
		If the function called itself recursively, the number
		only includes non-recursive calls, and is followed by
		a `+' and the number of recursive calls.

     name	The name of the current function.  The index number is
		printed after it.  If the function is a member of a
		cycle, the cycle number is printed between the
		function's name and the index number.


 For the function's parents, the fields have the following meanings:

     self	This is the amount of time that was propagated directly
		from the function into this parent.

     children	This is the amount of time that was propagated from
		the function's children into this parent.

     called	This is the number of times this parent called the
		function `/' the total number of times the function
		was called.  Recursive calls to the function are not
		included in the number after the `/'.

     name	This is the name of the parent.  The parent's index
		number is printed after it.  If the parent is a
		member of a cycle, the cycle number is printed between
		the name and the index number.

 If the parents of the function cannot be determined, the word
 `<spontaneous>' is printed in the `name' field, and all the other
 fields are blank.

 For the function's children, the fields have the following meanings:

     self	This is the amount of time that was propagated directly
		from the child into the function.

     children	This is the amount of time that was propagated from the
		child's children to the function.

     called	This is the number of times the function called
		this child `/' the total number of times the child
		was called.  Recursive calls by the child are not
		listed in the number after the `/'.

     name	This is the name of the child.  The child's index
		number is printed after it.  If the child is a
		member of a cycle, the cycle number is printed
		between the name and the index number.

 If there are any cycles (circles) in the call graph, there is an
 entry for the cycle-as-a-whole.  This entry shows who called the
 cycle (as parents) and the members of the cycle (as children.)
 The `+' recursive calls entry shows the number of function calls that
 were internal to the cycle, and the calls entry for each member shows,
 for that member, how many times it was called from other members of
 the cycle.

Copyright (C) 2012-2022 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

Index by function name

  [83] GetEnergies (physical.c:97 @ 2140) [236] ReadParams (inout.c:81 @ 158c) [411] WriteAtoms (inout.c:207 @ 1d34)
  [92] GetEnergies (physical.c:101 @ 2188) [237] ReadParams (inout.c:120 @ 15b0) [605] __do_global_dtors_aux
  [93] GetEnergies (physical.c:102 @ 218c) [238] ReadParams (inout.c:132 @ 1634) [606] __gmon_start__
  [94] GetEnergies (physical.c:101 @ 2194) [239] ReadParams (inout.c:137 @ 1640) [607] __stack_chk_fail_local
  [95] GetEnergies (physical.c:102 @ 2198) [240] ReadParams (inout.c:144 @ 1650) [608] _dl_relocate_static_pie
  [96] GetEnergies (physical.c:103 @ 21c4) [241] ReadParams (inout.c:83 @ 168c) [609] _fini
  [97] GetEnergies (physical.c:104 @ 21d8) [242] ReadParams (inout.c:142 @ 16c8) [26] _init
  [98] GetEnergies (physical.c:103 @ 21dc) [243] ReadParams (inout.c:137 @ 16e0) [610] _start
  [99] GetEnergies (physical.c:104 @ 21e0) [244] ReadParams (inout.c:84 @ 16f4) [412] atexit
 [100] GetEnergies (physical.c:105 @ 21f8) [245] ReadParams (inout.c:85 @ 1708) [413] call_weak_fn
 [101] GetEnergies (physical.c:106 @ 2204) [246] ReadParams (inout.c:73 @ 174c) [414] deregister_tm_clones
 [102] GetEnergies (physical.c:103 @ 2208) [247] ReadParams (inout.c:84 @ 1754) [415] etext
  [53] GetEnergies (physical.c:106 @ 220c) [248] ReadParams (inout.c:87 @ 1764) [416] fgets (stdio2.h:266 @ 14d4)
 [103] GetEnergies (physical.c:103 @ 2218) [249] ReadParams (inout.c:88 @ 1778) [417] fgets (stdio2.h:266 @ 1a70)
 [104] GetEnergies (physical.c:108 @ 2220) [250] ReadParams (inout.c:87 @ 1798) [418] fgets (stdio2.h:266 @ 1aa8)
 [105] GetEnergies (physical.c:110 @ 2224) [251] ReadParams (inout.c:89 @ 17a4) [419] fgets (stdio2.h:266 @ 1b24)
 [106] GetEnergies (physical.c:108 @ 2228) [252] ReadParams (inout.c:91 @ 17c4) [420] fprintf (stdio2.h:105 @ 1c6c)
 [107] GetEnergies (physical.c:110 @ 222c) [253] ReadParams (inout.c:92 @ 17f4) [421] fprintf (stdio2.h:105 @ 1cb8)
 [108] GetEnergies (physical.c:108 @ 2238) [254] ReadParams (inout.c:93 @ 1824) [422] fprintf (stdio2.h:105 @ 1cc0)
 [109] GetEnergies (physical.c:110 @ 223c) [255] ReadParams (inout.c:95 @ 1854) [423] fprintf (stdio2.h:105 @ 1cd8)
 [110] GetEnergies (physical.c:103 @ 2248) [256] ReadParams (inout.c:144 @ 1884) [424] fprintf (stdio2.h:105 @ 1ce0)
  [84] GetForces (forces.c:18 @ 2890) [257] ReadParams (inout.c:38 @ 1888) [425] frame_dummy
 [111] GetForces (forces.c:23 @ 28f0) [258] ReadParams (inout.c:97 @ 189c) [426] gaussianrand (physical.c:145 @ 1d50)
 [112] GetForces (forces.c:26 @ 28f8) [259] ReadParams (inout.c:98 @ 18c0) [427] gaussianrand (physical.c:163 @ 1da8)
 [113] GetForces (forces.c:23 @ 2904) [260] ReadParams (inout.c:100 @ 18e4) [428] gaussianrand (physical.c:166 @ 1db0)
 [114] GetForces (forces.c:24 @ 2910) [261] ReadParams (inout.c:102 @ 1914) [429] gaussianrand (physical.c:163 @ 1e04)
 [115] GetForces (forces.c:25 @ 2918) [262] ReadParams (inout.c:103 @ 1938) [430] gaussianrand (physical.c:164 @ 1e2c)
 [116] GetForces (forces.c:28 @ 291c) [263] ReadParams (inout.c:105 @ 195c) [431] gaussianrand (physical.c:165 @ 1e30)
 [117] GetForces (forces.c:30 @ 2948) [264] ReadParams (inout.c:106 @ 1980) [432] gaussianrand (physical.c:166 @ 1e38)
 [118] GetForces (forces.c:28 @ 294c) [265] ReadParams (inout.c:107 @ 19a4) [433] gaussianrand (physical.c:167 @ 1e48)
 [119] GetForces (forces.c:32 @ 2950) [266] ReadParams (inout.c:109 @ 19c8) [434] gaussianrand (physical.c:168 @ 1e74)
 [120] GetForces (forces.c:28 @ 2954) [267] ReadParams (inout.c:113 @ 1a0c) [435] gaussianrand (physical.c:177 @ 1e80)
  [50] GetForces (forces.c:33 @ 2958) [91] SetTemperature (physical.c:12 @ 1ea4) [436] gaussianrand (physical.c:169 @ 1e84)
  [65] GetForces (forces.c:28 @ 295c) [268] SetTemperature (physical.c:29 @ 1ed8) [437] gaussianrand (physical.c:177 @ 1e88)
 [121] GetForces (forces.c:36 @ 2964) [269] SetTemperature (physical.c:32 @ 1f20) [438] gaussianrand (physical.c:168 @ 1e90)
 [122] GetForces (forces.c:38 @ 297c) [270] SetTemperature (physical.c:31 @ 1f28) [439] gaussianrand (physical.c:177 @ 1e94)
 [123] GetForces (forces.c:36 @ 2980) [271] SetTemperature (physical.c:32 @ 1f34) [440] gaussianrand (physical.c:169 @ 1e98)
 [124] GetForces (forces.c:40 @ 2988) [272] SetTemperature (physical.c:31 @ 1f4c) [441] gaussianrand (physical.c:177 @ 1e9c)
 [125] GetForces (forces.c:44 @ 29a0) [273] SetTemperature (physical.c:34 @ 1f5c) [442] gaussianrand (physical.c:161 @ 1f44)
 [126] GetForces (forces.c:50 @ 29bc) [274] SetTemperature (physical.c:34 @ 1f64) [443] gaussianrand (physical.c:31 @ 1f58)
  [58] GetForces (forces.c:62 @ 29c8) [275] SetTemperature (physical.c:35 @ 1f6c) [444] gaussianrand (physical.c:161 @ 1f60)
 [127] GetForces (forces.c:63 @ 29d4) [276] SetTemperature (physical.c:35 @ 1f74) [445] gaussianrand (physical.c:161 @ 1f68)
  [15] GetForces (forces.c:68 @ 29dc) [277] SetTemperature (physical.c:39 @ 1f84) [446] gaussianrand (physical.c:173 @ 1f70)
 [128] GetForces (forces.c:70 @ 29e8) [278] SetTemperature (physical.c:36 @ 1f88) [447] gaussianrand (physical.c:35 @ 1f7c)
   [3] GetForces (forces.c:44 @ 29f0) [279] SetTemperature (physical.c:32 @ 1f8c) [448] gaussianrand (physical.c:161 @ 1fac)
  [59] GetForces (forces.c:47 @ 29fc) [280] SetTemperature (physical.c:39 @ 1f90) [449] gaussianrand (physical.c:173 @ 1fbc)
